rocket_id,name,type,active,country,company,height_mt,height_ft,diameter_mt,diameter_ft,mass_kg,mass_lb,stages,boosters,cost_per_launch,engines
5e9d0d95eda69955f709d1eb,Falcon 1,rocket,False,Republic of the Marshall Islands,SpaceX,22.25,73.0,1.68,5.5,30146,66460,2,0,6700000,"merlin"
5e9d0d95eda69973a809d1ec,Falcon 9,rocket,True,United States,SpaceX,70.0,229.6,3.7,12.0,549054,1207920,2,0,50000000,"merlin"
5e9d0d95eda69974db09d1ed,Falcon Heavy,rocket,True,United States,SpaceX,70.0,229.6,12.2,39.9,1420788,3125735,2,2,90000000,"merlin"
5e9d0d96eda699382d09d1ee,Starship,rocket,False,United States,SpaceX,118.0,387.0,9.0,30.0,1335000,2943000,2,0,7000000,"raptor"
